EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP
Gaia EDR3 5522208021344232576,264.2361401015,-1.54984784,130.81571847338,-44.96652009213,0.4406,0.0638,-3.438,0.063,3.846,0.071,17.254677,0.002884,1.621046,,,0.017195
Gaia EDR3 5522208025651162112,264.2433310716,-1.5541331211,130.81723121392,-44.97482011559,0.4571,0.1113,-4.186,0.107,2.878,0.147,18.169247,0.003068,1.628119,,,0.036402
Gaia EDR3 5522208025651168128,264.2457735417,-1.5499205938,130.82404598612,-44.9741378954,0.523,0.0209,-4.475,0.022,2.881,0.024,14.979781,0.002769,1.041038,,,0.007092
Gaia EDR3 5522208124423163136,264.2456452898,-1.6149791382,130.75156574799,-45.01420539335,0.2511,0.054,-3.463,0.06,3.461,0.057,16.862343,0.002886,2.724108,,,0.020996
Gaia EDR3 5522208128721035904,264.2499527631,-1.6213920011,130.7481853228,-45.02155075036,0.5028,0.092,-4.413,0.103,2.933,0.098,17.72128,0.003148,,,,
Gaia EDR3 5522208158782898176,264.2397962867,-1.6309209982,130.72871477699,-45.01943952842,0.527,0.0689,-4.402,0.077,3.115,0.072,17.39655,0.00294,1.504579,,,0.017431
Gaia EDR3 5522208158782900864,264.2315638393,-1.6390247469,130.71251070167,-45.01796019439,0.5774,0.1377,-3.991,0.151,3.351,0.169,18.246992,0.003192,1.709946,,,0.044177
Gaia EDR3 5522208227502393728,264.2400224415,-1.6036901792,130.75922421405,-45.00281615525,0.4144,0.1122,-4.423,0.11,3.029,0.142,18.201874,0.003177,1.621109,,,0.035687
Gaia EDR3 5522208227502397952,264.2337159025,-1.6018323103,130.75578977046,-44.99670917191,0.5838,0.1566,-4.008,0.154,3.704,0.198,18.74189,0.003536,1.993452,,,0.055887
Gaia EDR3 5522208231800273792,264.2483600608,-1.6076818352,130.76205694179,-45.01183743486,0.5514,0.0745,-4.378,0.079,3.193,0.084,17.584953,0.002974,1.483969,,,0.019295
Gaia EDR3 5522208231809558528,264.2381890719,-1.6026304567,130.75880395284,-45.00072013037,0.5226,0.0179,-4.411,0.019,3.068,0.02,14.685354,0.002767,0.91868,,,0.007117
Gaia EDR3 5522208266169303296,264.2378754173,-1.5902179542,130.77234098505,-44.99281237716,0.517,0.0279,-4.383,0.03,3.025,0.033,15.759071,0.002779,1.24497,,,0.007851
Gaia EDR3 5522208266169304192,264.2387159309,-1.5912102636,130.7719703931,-44.99408592016,0.2595,0.0346,-4.158,0.037,3.37,0.04,16.187838,0.002807,1.540159,,,0.009432
Gaia EDR3 5522208364941344384,264.2180800709,-1.6345166924,130.70577393532,-45.00456978189,0.5364,0.0522,-4.156,0.054,3.139,0.055,16.893223,0.002857,1.383549,,,0.01267
Gaia EDR3 5522208369248473344,264.2161427722,-1.627000905,130.71245264597,-44.9984105839,0.5335,0.0811,-4.035,0.082,3.758,0.089,17.644892,0.00296,1.566444,,,0.020698
Gaia EDR3 5522208369248474368,264.2197601053,-1.6324761743,130.7095105092,-45.00463354414,0.4168,0.02,-4.411,0.021,3.058,0.022,14.836733,0.002768,1.076853,,,0.006964
Gaia EDR3 5522208369248475264,264.2225334087,-1.6364014582,130.70755777884,-45.00923644451,0.5122,0.0164,-4.646,0.019,3.015,0.018,14.400025,0.002765,0.827783,,,0.006938
Gaia EDR3 5522208399301099520,264.21203851,-1.6189996514,130.71778120538,-44.99024652045,0.4954,0.0718,-4.359,0.072,3.142,0.078,17.475079,0.002903,1.656418,,,0.034758
Gaia EDR3 5522208403608212096,264.2108985544,-1.6166239647,130.71943159875,-44.98788433271,0.3978,0.0462,-4.495,0.043,3.023,0.048,16.506695,0.002827,1.425924,,,0.013808
Gaia EDR3 5522208437958457088,264.2049053142,-1.6333670561,130.69557060658,-44.99349282219,0.2844,0.1217,-3.439,0.124,3.832,0.154,18.138533,0.003241,3.135038,,,0.105012
Gaia EDR3 5522208437967928320,264.2027404964,-1.6355036197,130.69130539903,-44.99310629659,0.4978,0.0098,-4.372,0.01,3.206,0.011,11.974939,0.002764,0.700408,,,0.006683
Gaia EDR3 5522208437967931264,264.2046767138,-1.6349836268,130.69357160243,-44.99430957321,0.4758,0.0256,-4.331,0.027,2.968,0.029,15.614642,0.002878,1.12663,,,0.012961
Gaia EDR3 5522208437967941888,264.2128212085,-1.6349534252,130.70070350953,-45.00070061715,0.2396,0.0197,-3.86,0.022,3.976,0.022,14.911871,0.002768,1.154155,,,0.007073
Gaia EDR3 5522208472318205440,264.2015686416,-1.6227871511,130.70444019234,-44.984343571,0.5538,0.1741,-3.995,0.166,2.926,0.22,18.7936,0.003521,,,,
Gaia EDR3 5522208472327673856,264.1991206859,-1.6189118988,130.70662007263,-44.98002757097,0.4715,0.1377,-4.078,0.141,3.577,0.151,16.6315,0.003599,1.565682,,,0.010636
Gaia EDR3 5522208472327680128,264.2050425845,-1.6202424068,130.7103001029,-44.98550805785,0.5785,0.0508,-4.504,0.049,2.98,0.051,16.72107,0.002834,1.45837,,,0.013631
Gaia EDR3 5522208502380325120,264.2088213965,-1.6100864955,130.72489628746,-44.98221772296,0.6144,0.1452,-4.434,0.145,2.931,0.186,18.665936,0.003353,1.826681,,,0.045479
Gaia EDR3 5522208536740073600,264.2119954663,-1.5931193238,130.74654097965,-44.97424731334,0.5553,0.1694,-4.448,0.168,3.713,0.196,18.8339,0.003427,1.89543,,,0.052453
Gaia EDR3 5522208541047176832,264.2074740601,-1.5893324634,130.74681130086,-44.96835400451,0.4873,0.0654,-4.242,0.069,2.963,0.074,17.41776,0.002892,1.630119,,,0.024439
Gaia EDR3 5522208541047551744,264.2099226644,-1.5838843847,130.75500559252,-44.96691821487,0.4631,0.0745,-4.365,0.078,3.085,0.083,17.638578,0.002923,1.67041,,,0.019185
Gaia EDR3 5522208575397440000,264.1935307681,-1.5989934381,130.72391179383,-44.96334470377,0.6944,0.2311,-4.023,0.246,3.077,0.248,18.751776,0.00415,,,,
Gaia EDR3 5522208575406905856,264.2054150455,-1.6033440734,130.72942928262,-44.97537866347,0.4944,0.0345,-4.436,0.036,3.008,0.039,16.211103,0.002794,1.336456,,,0.00865
Gaia EDR3 5522208605459571072,264.1958968318,-1.5899866845,130.73599217855,-44.9596501647,0.4937,0.0188,-3.57,0.019,3.077,0.023,14.826488,0.00277,0.919806,,,0.006898
Gaia EDR3 5522208605459571456,264.1914891514,-1.5908729451,130.73116528558,-44.95672925913,0.2751,0.1095,-3.626,0.112,3.23,0.141,18.11372,0.003115,1.911913,,,0.039065
Gaia EDR3 5522208609766633216,264.1890987333,-1.5902613229,130.72976253956,-44.95447129442,0.5057,0.0234,-4.372,0.024,3.079,0.026,15.321386,0.002772,1.255221,,,0.008097
Gaia EDR3 5522208609766634624,264.1877600481,-1.586074226,130.73325266571,-44.95083509783,0.3856,0.0917,-4.648,0.094,2.796,0.104,17.967627,0.003046,1.708673,,,0.02715
Gaia EDR3 5522208609766641152,264.1920777213,-1.5825536406,130.74093025658,-44.95205981073,0.581,0.0537,-4.481,0.058,2.997,0.059,16.964464,0.002847,1.480927,,,0.013859
Gaia EDR3 5522208609767027456,264.1969960166,-1.5937095079,130.73280935866,-44.96281159844,0.4875,0.017,-4.485,0.018,3.061,0.02,14.170252,0.002762,1.071844,,,0.00674
Gaia EDR3 5522208609768025856,264.1994990508,-1.5854392041,130.74418943441,-44.95967828976,0.4902,0.0164,-4.283,0.018,3.292,0.019,10.968249,0.002766,1.840232,25.44,0.26,0.006617
Gaia EDR3 5522208639819504768,264.2359551074,-1.5783890128,130.78382334426,-44.9839999053,0.6603,0.1425,-4.465,0.153,3.203,0.187,18.577374,0.003362,1.844974,,,0.042535
Gaia EDR3 5522208644126423168,264.2257631265,-1.5725733391,130.78139908111,-44.97239476629,0.3819,0.075,-4.152,0.079,3.124,0.086,17.674658,0.00297,1.551948,,,0.020978
Gaia EDR3 5522208644126423552,264.2261814842,-1.5710797473,130.78342487486,-44.97180164794,0.5685,0.066,-4.357,0.068,2.986,0.078,17.435955,0.002948,1.530224,,,0.019047
Gaia EDR3 5522208644126430208,264.2373034336,-1.5814676068,130.78157568451,-44.98696083004,0.5005,0.0759,-4.353,0.079,3.135,0.087,17.660631,0.002943,1.543314,,,0.020021
Gaia EDR3 5522208678486169344,264.2274956699,-1.56200834,130.79465747748,-44.96723399887,0.486,0.0192,-4.42,0.02,3.06,0.022,14.955514,0.002768,1.031558,,,0.007161
Gaia EDR3 5522208708538775296,264.2125444585,-1.5748344206,130.76735583029,-44.96339493658,0.5643,0.1586,-4.751,0.16,3.093,0.209,18.785841,0.003544,1.961195,,,0.06101
Gaia EDR3 5522208708546566784,264.2243803234,-1.5732502991,130.77944005999,-44.97172527001,0.4086,0.0779,-4.446,0.082,2.941,0.09,17.764912,0.003003,1.582619,,,0.021496
Gaia EDR3 5522208712845889152,264.2182388557,-1.5768505793,130.77007977103,-44.96911789353,0.5078,0.0217,-4.758,0.023,2.523,0.025,15.272312,0.002773,1.174859,,,0.007172
Gaia EDR3 5522208712845896320,264.2210330029,-1.5695629313,130.78062044934,-44.96681656319,0.5879,0.0522,-4.356,0.053,2.901,0.057,16.945124,0.002838,1.495516,,,0.015061
Gaia EDR3 5522208742898742784,264.2155523417,-1.5671311051,130.77854410582,-44.9610053147,0.3175,0.1116,-4.308,0.112,3.335,0.145,18.262007,0.003168,1.766128,,,0.037791
