EDR3Name GLON GLAT RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP RVDR2 e_RVDR2 e_BP-RP probs_final sel memb_probs
"Gaia EDR3 5522209125162732032" 264.1877306361 -1.5473807954 130.77623928514 -44.92693349236 0.5266 0.0394 -4.402 0.043 2.927 0.045 16.310896 0.002813 1.402066 "" "" 0.009468 1.0 1 1.0
"Gaia EDR3 5522209159522466560" 264.1776215332 -1.5348433639 130.78135768841 -44.91124364815 0.4958 0.0225 -4.323 0.023 3.008 0.026 15.274648 0.00277 1.076281 "" "" 0.00786 1.0 1 1.0
"Gaia EDR3 5522209400040556800" 264.2027056558 -1.711395466 130.60671135489 -45.03983482815 0.5725 0.0473 -4.394 0.052 3.042 0.046 16.68751 0.002827 1.350373 "" "" 0.01001 1.0 1 1.0
"Gaia EDR3 5522209674918440448" 264.1820868879 -1.7170463801 130.58245776446 -45.0270711642 0.4515 0.0168 -4.37 0.019 2.919 0.018 14.642374 0.002767 0.835409 "" "" 0.006921 1.0 1 1.0
"Gaia EDR3 5522209777997702272" 264.1989907306 -1.6668847608 130.65308857531 -45.00949517909 0.4999 0.0133 -4.33 0.015 3.016 0.015 13.863624 0.002768 0.72286 "" "" 0.006753 1.0 1 1.0
"Gaia EDR3 5522209915436666240" 264.1958806551 -1.6437365918 130.67616160073 -44.99278199386 0.4756 0.0399 -4.45 0.041 3.031 0.04 16.304806 0.002805 1.243463 "" "" 0.009536 1.0 1 1.0
"Gaia EDR3 5522209949796382208" 264.1854921486 -1.6597407098 130.64928977655 -44.99446585026 0.5451 0.0229 -4.441 0.024 3.098 0.024 14.938273 0.002765 0.915279 "" "" 0.00722 1.0 1 1.0
"Gaia EDR3 5522209984146512128" 264.175629588 -1.640369802 130.66227231251 -44.9747655166 0.506 0.0383 -4.4 0.04 3.056 0.039 15.638959 0.002846 0.988068 "" "" 0.030425 1.0 1 1.0
"Gaia EDR3 5522210259034012416" 264.1570999239 -1.633521644 130.65376457969 -44.95595777827 0.5024 0.0118 -4.431 0.012 3.014 0.012 13.401628 0.002763 0.69659 "" "" 0.006696 1.0 1 1.0
"Gaia EDR3 5522210396473417216" 264.1446054306 -1.7300537988 130.53534602323 -45.00553850728 0.5558 0.0552 -4.504 0.06 3.035 0.057 16.966448 0.002863 1.331234 "" "" 0.011552 1.0 1 1.0
"Gaia EDR3 5522210465192405632" 264.1520796596 -1.6958903826 130.57993340468 -44.99041020064 0.4775 0.0178 -4.376 0.021 3.083 0.018 13.817007 0.002766 0.697492 "" "" 0.006722 1.0 1 1.0
"Gaia EDR3 5522210980588498688" 264.1473380259 -1.6505984527 130.62626022314 -44.95879083152 0.5011 0.0134 -4.501 0.015 3.054 0.014 13.900722 0.002765 0.704141 "" "" 0.006812 1.0 1 1.0
"Gaia EDR3 5522211014938506368" 264.1325737787 -1.6338599233 130.63204889433 -44.93685461813 0.5002 0.0277 -4.416 0.03 2.921 0.029 14.547829 0.002792 0.836568 "" "" 0.006812 1.0 1 1.0
"Gaia EDR3 5522211014948229760" 264.1331088226 -1.6382863368 130.62758798763 -44.94000230707 0.5124 0.0116 -4.294 0.012 2.897 0.012 11.619661 0.002761 0.760386 "" "" 0.006619 1.0 1 1.0
"Gaia EDR3 5522211289826120064" 264.1144196283 -1.6402837089 130.60911416139 -44.92651338715 0.459 0.0451 -4.451 0.046 2.978 0.045 16.713142 0.00283 1.316254 "" "" 0.01212 1.0 1 1.0
"Gaia EDR3 5522211319878941184" 264.1014106296 -1.6467942492 130.59056169555 -44.92027441463 0.4723 0.041 -4.437 0.041 3.037 0.042 16.506475 0.002808 1.278119 "" "" 0.010311 1.0 1 1.0
